Order_ID,Order_Date,Customer_ID,Customer_Name,Category,Sub_Category,Product,Region,City,Quantity,Unit_Price,Discount,Sales,Cost,Profit
O1032,2025-09-03,C048,Neha,Office Supplies,File,Document File,North,Jaipur,1,27851,0.0,27851.0,16840.07,11010.93
O1033,2025-11-09,C036,Sneha,Technology,Mobile,Apple iPhone,North,Lucknow,2,29692,0.2,47507.2,27679.48,19827.72
O1034,2025-10-15,C087,Amit,Technology,Keyboard,HP Keyboard,North,Jaipur,3,55866,0.15,142458.3,111337.71,31120.59
O1035,2025-06-29,C042,Amit,Office Supplies,Notebook,Spiral Notebook,West,Pune,6,55709,0.05,317541.3,178521.75,139019.55
O1036,2025-04-18,C005,Neha,Office Supplies,Pen,Parker Pen,East,Kolkata,1,14699,0.2,11759.2,7744.81,4014.39
O1037,2025-05-04,C030,Arjun,Furniture,Chair,Executive Chair,East,Bhubaneswar,3,39834,0.15,101576.7,61260.72,40315.98
O1038,2025-11-14,C023,Anjali,Technology,Keyboard,Logitech Keyboard,West,Pune,7,26045,0.2,145852.0,90972.77,54879.23
O1039,2025-09-29,C061,Neha,Technology,Laptop,HP Laptop,North,Delhi,2,46275,0.0,92550.0,75343.01,17206.99
O1040,2025-03-27,C057,Kiran,Office Supplies,Notebook,Spiral Notebook,South,Bangalore,3,19631,0.05,55948.35,38738.03,17210.32
O1041,2025-12-07,C039,Sneha,Office Supplies,Notebook,Spiral Notebook,North,Jaipur,4,29224,0.15,99361.6,55330.94,44030.66
O1042,2025-08-11,C010,Vikram,Technology,Mobile,OnePlus Mobile,South,Bangalore,6,32680,0.15,166668.0,94687.69,71980.31
O1043,2025-06-09,C091,Sneha,Office Supplies,Pen,Cello Pen,South,Hyderabad,4,27763,0.05,105499.4,59143.44,46355.96
O1044,2025-03-06,C033,Ravi,Furniture,Desk,Study Desk,South,Hyderabad,3,28174,0.2,67617.6,54119.5,13498.1
O1045,2025-08-03,C081,Vikram,Furniture,Desk,Study Desk,South,Hyderabad,2,32096,0.1,57772.8,46062.34,11710.46
O1046,2025-11-10,C075,Ravi,Technology,Mobile,OnePlus Mobile,North,Jaipur,2,57558,0.0,115116.0,86154.54,28961.46
O1047,2025-02-05,C082,Rahul,Technology,Laptop,Dell Laptop,South,Chennai,5,18988,0.1,85446.0,80849.18,4596.82
O1048,2025-10-06,C089,Arjun,Office Supplies,Printer Paper,Premium Paper,West,,5,44911,0.0,224555.0,184570.27,39984.73
O1049,2025-07-06,C019,Rahul,Technology,Mobile,Samsung Mobile,South,Chennai,4,47059,0.0,188236.0,127627.74,60608.26
O1050,2025-05-24,C069,Arjun,Technology,Laptop,Lenovo Laptop,East,Kolkata,7,59263,0.15,352614.85,274819.25,77795.6
O1051,2025-06-30,C042,Vikram,Technology,Keyboard,Logitech Keyboard,South,Hyderabad,7,1267,0.0,8869.0,5280.48,3588.52
O1052,2025-05-26,C076,Anjali,Office Supplies,Pen,Parker Pen,North,Delhi,3,38202,0.2,91684.8,63296.07,28388.73
O1053,2025-10-10,C066,Kiran,Furniture,Table,Computer Table,South,Hyderabad,6,1642,0.2,7881.6,5036.58,2845.02
O1054,2025-11-23,C089,Sneha,Technology,Laptop,HP Laptop,West,Mumbai,1,17849,0.15,15171.65,9780.77,5390.88
O1055,2025-01-19,C039,Arjun,Furniture,Cabinet,File Cabinet,West,Mumbai,6,26890,0.1,145206.0,94309.8,50896.2
O1056,2025-01-01,C003,Anjali,Technology,Laptop,HP Laptop,East,Bhubaneswar,4,55871,0.2,178787.2,157174.71,21612.49
O1057,2025-06-09,C045,Kiran,Office Supplies,Printer Paper,A4 Paper,South,Hyderabad,6,46296,0.05,263887.2,146420.92,117466.28
O1058,2025-02-16,C049,Rahul,Furniture,Chair,Office Chair,East,Kolkata,4,25926,0.1,93333.6,87520.88,5812.72
O1059,2025-09-29,C072,Amit,Technology,Mobile,OnePlus Mobile,West,Ahmedabad,9,7214,0.15,55187.1,51516.11,3670.99
O1060,2025-08-08,C041,Sneha,Technology,Keyboard,HP Keyboard,East,Bhubaneswar,8,19229,0.15,130757.2,102443.36,28313.84
O1061,2025-08-28,C029,Arjun,Office Supplies,Pen,Parker Pen,South,Hyderabad,1,55384,0.15,47076.4,37242.74,9833.66
O1062,2025-01-05,C033,Amit,Technology,Mobile,OnePlus Mobile,West,Mumbai,9,109,0.05,931.95,718.19,213.76
O1063,2025-10-10,C049,Rahul,Technology,Mobile,Apple iPhone,South,Bangalore,5,23933,0.0,119665.0,112241.67,7423.33
O1064,2025-12-17,C005,Amit,Furniture,Chair,Office Chair,West,Mumbai,5,41043,0.15,174432.75,152656.64,21776.11
O1065,2025-03-26,C078,Anjali,Office Supplies,Notebook,Classmate Notebook,South,Hyderabad,5,4909,0.05,23317.75,16349.01,6968.74
O1066,2025-10-15,C034,Ravi,Furniture,Chair,Office Chair,South,Hyderabad,4,22049,0.0,88196.0,72204.33,15991.67
O1067,2025-02-23,C005,Anjali,Office Supplies,Pen,Cello Pen,North,Jaipur,6,50022,0.1,270118.8,181819.91,88298.89
O1068,2025-04-13,C038,Priya,Technology,Keyboard,Logitech Keyboard,West,Ahmedabad,5,39864,0.05,189354.0,165120.07,24233.93
O1069,2025-12-01,C030,Neha,Furniture,Table,Computer Table,North,Jaipur,3,10309,0.15,26287.95,20214.87,6073.08
O1070,2025-12-06,C088,Kiran,Furniture,Desk,Office Desk,South,Hyderabad,4,49389,0.0,197556.0,147544.01,50011.99
O1071,2025-12-02,C095,Amit,Furniture,Table,Office Table,North,Delhi,3,6354,0.0,19062.0,13992.42,5069.58
O1072,2025-10-04,C005,Priya,Technology,Monitor,Samsung Monitor,West,Mumbai,2,28832,0.05,54780.8,35034.49,19746.31
O1073,2025-02-03,C049,Vikram,Furniture,Chair,Executive Chair,South,Chennai,1,39244,0.15,33357.4,21099.67,12257.73
O1074,2025-03-02,C081,Vikram,Technology,Monitor,Dell Monitor,North,Delhi,9,43321,0.1,350900.1,322248.74,28651.36
O1075,2025-03-19,C088,Priya,Technology,Keyboard,Logitech Keyboard,West,Mumbai,4,402,0.05,1527.6,1304.54,223.06
O1076,2025-10-01,C038,Arjun,Technology,Mobile,OnePlus Mobile,West,Ahmedabad,7,5222,0.1,32898.6,25096.55,7802.05
O1077,2025-09-30,C086,Vikram,Office Supplies,File,Document File,South,Bangalore,5,10367,0.05,49243.25,38192.38,11050.87
O1078,2025-08-21,C018,Sneha,Furniture,Cabinet,File Cabinet,South,Hyderabad,4,6268,0.15,21311.2,14748.24,6562.96
O1079,2025-06-29,C026,Priya,Office Supplies,Pen,Cello Pen,West,Mumbai,3,16013,0.0,48039.0,32905.69,15133.31
O1080,2025-10-04,C070,Amit,Office Supplies,Printer Paper,A4 Paper,South,Chennai,5,28124,0.0,140620.0,77764.79,62855.21
O1081,2025-08-31,C031,Ravi,Office Supplies,Printer Paper,Premium Paper,North,Lucknow,8,27546,0.0,220368.0,128274.78,92093.22
O1082,2025-12-01,C006,Amit,Technology,Keyboard,HP Keyboard,West,Pune,2,41527,0.15,70595.9,64733.49,5862.41
O1083,2025-06-22,C044,Kiran,Technology,Mobile,OnePlus Mobile,West,Pune,9,53541,0.1,433682.1,337684.43,95997.67
O1084,2025-02-16,C001,Vikram,Furniture,Table,Computer Table,East,Patna,4,49476,0.15,168218.4,108831.23,59387.17
O1085,2025-06-27,C010,Kiran,Furniture,Cabinet,Storage Cabinet,South,Chennai,4,39856,0.1,143481.6,112999.4,30482.2
O1086,2025-11-25,C017,Anjali,Office Supplies,Pen,Cello Pen,North,Delhi,8,34487,0.0,275896.0,167063.28,108832.72
O1087,2025-08-24,C050,Kiran,Office Supplies,File,Document File,North,Lucknow,3,28353,0.0,85059.0,75727.26,9331.74
O1088,2025-11-24,C011,Anjali,Office Supplies,Notebook,Spiral Notebook,East,Patna,3,51812,0.15,132120.6,117155.5,14965.1
O1089,2025-03-03,C004,Anjali,Technology,Mobile,OnePlus Mobile,West,Mumbai,5,19382,0.1,87219.0,70080.77,17138.23
O1090,2025-12-19,C023,Rahul,Technology,Mobile,Samsung Mobile,North,Lucknow,8,28273,0.1,203565.6,162779.32,40786.28
O1091,2025-02-08,C051,Amit,Technology,Laptop,Dell Laptop,West,Ahmedabad,2,18481,0.2,29569.6,26984.89,2584.71
O1092,2025-08-19,C027,Sneha,Furniture,Desk,Office Desk,West,Pune,4,15474,0.2,49516.8,37046.96,12469.84
O1093,2025-03-27,C066,Vikram,Technology,Mobile,Samsung Mobile,South,Hyderabad,5,32254,0.0,161270.0,90861.61,70408.39
O1094,2025-07-03,C015,Ravi,Technology,Monitor,LG Monitor,South,Chennai,6,55280,0.15,281928.0,206596.86,75331.14
O1095,2025-10-19,C026,Kiran,Technology,Laptop,Lenovo Laptop,East,Kolkata,2,48638,0.1,87548.4,72453.25,15095.15
O1096,2025-08-06,C013,Ravi,Office Supplies,Pen,Cello Pen,East,Bhubaneswar,6,13099,0.05,74664.3,69356.66,5307.64
O1097,2025-12-22,C068,Kiran,Furniture,Table,Office Table,South,Bangalore,8,33695,0.1,242604.0,223886.45,18717.55
O1098,2025-10-23,C041,Amit,Technology,Keyboard,Logitech Keyboard,North,Delhi,9,54361,0.1,440324.1,371887.91,68436.19
O1099,2025-11-09,C001,Amit,Office Supplies,File,Office File,North,Delhi,5,36285,0.15,154211.25,92505.94,61705.31
O1100,2025-11-09,C026,Anjali,Office Supplies,File,Document File,West,Mumbai,9,9624,0.0,86616.0,54761.4,31854.6
O1101,2025-12-13,C017,Arjun,Office Supplies,File,Document File,South,Chennai,6,8677,0.05,49458.9,36715.06,12743.84
O1102,2025-03-04,C022,Vikram,Furniture,Cabinet,File Cabinet,West,Pune,5,22459,0.0,112295.0,78040.26,34254.74
O1103,2025-12-08,C092,Ravi,Furniture,Chair,Office Chair,West,Mumbai,4,19916,0.0,79664.0,61574.07,18089.93
O1104,2025-11-14,C032,Rahul,Technology,Monitor,Dell Monitor,East,Kolkata,7,2582,0.1,16266.6,14150.52,2116.08
O1105,2025-07-13,C092,Rahul,Technology,Laptop,HP Laptop,East,Patna,2,33636,0.1,60544.8,44277.35,16267.45
O1106,2025-05-11,C032,Vikram,Furniture,Table,Computer Table,West,Ahmedabad,4,55268,0.2,176857.6,102613.02,74244.58
O1107,2025-12-15,C008,Rahul,Furniture,Desk,Study Desk,North,Delhi,7,16538,0.15,98401.1,87175.06,11226.04
O1108,2025-03-08,C051,Rahul,Technology,Monitor,Samsung Monitor,East,Patna,8,56473,0.0,451784.0,393036.92,58747.08
O1109,2025-06-14,C054,Kiran,Office Supplies,Printer Paper,Premium Paper,West,Pune,8,48017,0.1,345722.4,323271.09,22451.31
O1110,2025-05-27,C019,Sneha,Furniture,Desk,Office Desk,East,Bhubaneswar,7,4525,0.0,31675.0,20055.17,11619.83
O1111,2025-07-14,C087,Neha,Technology,Keyboard,HP Keyboard,North,Delhi,5,22519,0.1,101335.5,66250.05,35085.45
O1112,2025-12-08,C024,Rahul,Technology,Laptop,HP Laptop,East,Bhubaneswar,9,7183,0.1,58182.3,54073.54,4108.76
O1113,2025-07-28,C014,Anjali,Furniture,Table,Computer Table,West,Pune,7,20707,0.0,144949.0,107829.21,37119.79
O1114,2025-06-03,C058,Priya,Furniture,Chair,Office Chair,West,Mumbai,6,17785,0.1,96039.0,69021.46,27017.54
O1115,2025-02-03,C017,Kiran,Office Supplies,Notebook,Classmate Notebook,North,Jaipur,5,26765,0.15,113751.25,85226.57,28524.68
O1116,2025-10-14,C006,Ravi,Technology,Mobile,OnePlus Mobile,East,Patna,5,40909,0.2,163636.0,107259.07,56376.93
O1117,2025-07-09,C046,Priya,Furniture,Cabinet,File Cabinet,South,Hyderabad,7,27629,0.2,154722.4,136966.89,17755.51
O1118,2025-09-24,C040,Sneha,Furniture,Desk,Office Desk,West,Mumbai,4,21974,0.05,83501.2,48205.23,35295.97
O1119,2025-09-07,C036,Sneha,Technology,Monitor,Samsung Monitor,East,Patna,6,28869,0.2,138571.2,103027.96,35543.24
O1120,2025-03-14,C073,Ravi,Office Supplies,File,Document File,West,Mumbai,2,47404,0.05,90067.6,66622.55,23445.05
O1121,2025-05-11,C044,Arjun,Technology,Laptop,Dell Laptop,South,Bangalore,8,55437,0.0,443496.0,287634.13,155861.87
O1122,2025-01-17,C074,Anjali,Furniture,Table,Computer Table,East,Patna,5,49182,0.1,221319.0,206897.75,14421.25
O1123,2025-07-17,C072,Anjali,Office Supplies,Notebook,Classmate Notebook,East,Bhubaneswar,8,438,0.2,2803.2,2392.85,410.35
O1124,2025-09-23,C016,Neha,Furniture,Chair,Executive Chair,West,Ahmedabad,9,57296,0.05,489880.8,277160.22,212720.58
O1125,2025-06-25,C072,Priya,Technology,Monitor,LG Monitor,South,Chennai,7,44913,0.2,251512.8,211876.76,39636.04
O1126,2025-04-13,C017,Ravi,Office Supplies,File,Office File,North,Lucknow,4,25610,0.1,92196.0,62475.71,29720.29
O1127,2025-12-30,C039,Ravi,Office Supplies,Printer Paper,Premium Paper,South,Chennai,3,29966,0.05,85403.1,71730.64,13672.46
O1128,2025-11-07,C099,Vikram,Technology,Keyboard,Logitech Keyboard,North,Delhi,2,48388,0.2,77420.8,61653.69,15767.11
O1129,2025-10-29,C029,Rahul,Furniture,Table,Office Table,West,Mumbai,2,48643,0.1,87557.4,50609.22,36948.18
O1130,2025-12-25,C084,Kiran,Technology,Mobile,Samsung Mobile,East,Kolkata,8,18255,0.0,146040.0,125201.46,20838.54
O1131,2025-10-20,C025,Rahul,Technology,Mobile,Samsung Mobile,West,Mumbai,8,32513,0.05,247098.8,165191.29,81907.51
O1132,2025-10-20,C061,Kiran,Technology,Mobile,Apple iPhone,South,Bangalore,1,57308,0.15,48711.8,31044.11,17667.69
O1133,2025-07-18,C052,Sneha,Office Supplies,Printer Paper,Premium Paper,West,Ahmedabad,8,41070,0.2,262848.0,248568.51,14279.49
O1134,2025-11-26,C098,Anjali,Office Supplies,Printer Paper,Premium Paper,South,Bangalore,6,41944,0.1,226497.6,171022.77,55474.83
O1135,2025-02-16,C087,Rahul,Furniture,Chair,Office Chair,North,Lucknow,8,53097,0.2,339820.8,194763.9,145056.9
O1136,2025-06-09,C099,Amit,Technology,Monitor,LG Monitor,South,Hyderabad,3,25525,0.0,76575.0,46830.08,29744.92
O1137,2025-04-15,C056,Arjun,Technology,Keyboard,Logitech Keyboard,West,Mumbai,9,37543,0.2,270309.6,158562.19,111747.41
O1138,2025-02-09,C025,Kiran,Office Supplies,Printer Paper,A4 Paper,South,Bangalore,9,23365,0.15,178742.25,100840.83,77901.42
O1139,2025-03-31,C018,Amit,Office Supplies,File,Document File,East,Patna,6,14763,0.1,79720.2,66914.59,12805.61
O1140,2025-12-15,C058,Arjun,Technology,Keyboard,HP Keyboard,South,Hyderabad,1,38101,0.2,30480.8,22623.91,7856.89
O1141,2025-04-02,C097,Anjali,Furniture,Cabinet,File Cabinet,South,Hyderabad,1,58729,0.1,52856.1,47425.89,5430.21
O1142,2025-01-07,C005,Vikram,Technology,Monitor,Dell Monitor,South,Hyderabad,4,20770,0.1,74772.0,63637.45,11134.55
O1143,2025-07-25,C077,Neha,Technology,Monitor,Samsung Monitor,West,Pune,5,36609,0.05,173892.75,152536.43,21356.32
O1144,2025-12-10,C035,Amit,Furniture,Cabinet,File Cabinet,North,Lucknow,1,34932,0.05,33185.4,26667.86,6517.54
O1145,2025-02-06,C093,Amit,Office Supplies,Pen,Parker Pen,North,Delhi,2,1535,0.15,2609.5,1622.58,986.92
O1146,2025-04-30,C082,Priya,Furniture,Cabinet,File Cabinet,East,Kolkata,6,8173,0.0,49038.0,28107.02,20930.98
O1147,2025-01-29,C011,Rahul,Furniture,Cabinet,File Cabinet,South,Bangalore,3,21527,0.2,51664.8,36343.34,15321.46
O1148,2025-10-12,C004,Rahul,Furniture,Desk,Office Desk,East,Patna,7,44669,0.05,297048.85,195889.06,101159.79
O1149,2025-10-15,C002,Sneha,Office Supplies,Notebook,Classmate Notebook,West,Ahmedabad,7,35712,0.2,199987.2,133861.39,66125.81
O1150,2025-12-23,C059,Sneha,Furniture,Desk,Office Desk,West,Mumbai,8,32447,0.2,207660.8,192594.25,15066.55
O1151,2025-06-11,C061,Arjun,Furniture,Desk,Office Desk,South,Bangalore,1,12957,0.15,11013.45,9248.75,1764.7
O1152,2025-11-05,C008,Priya,Technology,Laptop,HP Laptop,West,Ahmedabad,8,21663,0.0,173304.0,155531.55,17772.45
O1153,2025-02-15,C015,Anjali,Office Supplies,File,Office File,East,Kolkata,8,44959,0.05,341688.4,272209.52,69478.88
O1154,2025-11-15,C086,Amit,Furniture,Table,Office Table,South,Chennai,4,34631,0.0,138524.0,87299.19,51224.81
O1155,2025-11-16,C082,Amit,Technology,Laptop,HP Laptop,East,Patna,1,37035,0.2,29628.0,17153.98,12474.02
O1156,2025-03-29,C041,Rahul,Office Supplies,Notebook,Classmate Notebook,South,Chennai,9,30187,0.1,244514.7,181479.49,63035.21
O1157,2025-08-30,C097,Priya,Technology,Mobile,Apple iPhone,East,Bhubaneswar,6,30911,0.15,157646.1,108524.62,49121.48
O1158,2025-04-13,C066,Amit,Technology,Laptop,Dell Laptop,South,Chennai,1,23216,0.15,19733.6,13677.76,6055.84
O1159,2025-11-13,C067,Amit,Office Supplies,Pen,Cello Pen,North,Jaipur,2,205,0.15,348.5,206.25,142.25
O1160,2025-03-25,C062,Neha,Technology,Mobile,Samsung Mobile,West,Ahmedabad,9,25391,0.05,217093.05,173700.9,43392.15
O1161,2025-07-07,C014,Priya,Office Supplies,Printer Paper,Premium Paper,East,Bhubaneswar,6,8701,0.1,46985.4,26607.91,20377.49
O1162,2025-02-24,C100,Ravi,Furniture,Cabinet,File Cabinet,East,Kolkata,9,13712,0.1,111067.2,70825.95,40241.25
O1163,2025-02-06,C096,Ravi,Technology,Monitor,Dell Monitor,West,Ahmedabad,2,10281,0.05,19533.9,15847.95,3685.95
O1164,2025-07-26,C097,Neha,Technology,Monitor,Samsung Monitor,East,Bhubaneswar,3,28806,0.2,69134.4,40020.48,29113.92
O1165,2025-12-30,C020,Ravi,Technology,Mobile,Samsung Mobile,West,Pune,8,8695,0.2,55648.0,38306.64,17341.36
O1166,2025-08-16,C066,Priya,Furniture,Chair,Office Chair,East,Kolkata,4,25949,0.2,83036.8,58807.17,24229.63
O1167,2025-01-18,C040,Kiran,Furniture,Desk,Study Desk,West,Ahmedabad,6,21216,0.15,108201.6,76124.03,32077.57
O1168,2025-01-02,C037,Kiran,Office Supplies,Notebook,Classmate Notebook,North,Jaipur,7,11661,0.15,69382.95,48508.36,20874.59
O1169,2025-08-19,C070,Rahul,Furniture,Chair,Office Chair,North,Jaipur,8,35146,0.0,281168.0,229165.56,52002.44
O1170,2025-06-13,C045,Neha,Office Supplies,Notebook,Classmate Notebook,East,Bhubaneswar,3,58696,0.2,140870.4,95802.58,45067.82
O1171,2025-11-28,C094,Anjali,Office Supplies,File,Office File,North,Lucknow,6,16753,0.05,95492.1,69662.54,25829.56
O1172,2025-04-17,C037,Kiran,Technology,Laptop,Lenovo Laptop,East,Kolkata,9,17059,0.15,130501.35,91578.47,38922.88
O1173,2025-11-30,C002,Anjali,Technology,Laptop,Dell Laptop,East,Patna,6,719,0.1,3882.6,2309.25,1573.35
O1174,2025-09-02,C059,Kiran,Office Supplies,Notebook,Spiral Notebook,North,Delhi,1,39130,0.1,35217.0,25739.39,9477.61
O1175,2025-10-26,C098,Anjali,Technology,Laptop,Lenovo Laptop,North,Jaipur,4,51992,0.05,197569.6,184934.53,12635.07
O1176,2025-10-21,C084,Neha,Furniture,Chair,Office Chair,West,Ahmedabad,8,6738,0.1,48513.6,36168.76,12344.84
O1177,2025-09-21,C029,Amit,Furniture,Chair,Executive Chair,East,Bhubaneswar,7,56427,0.05,375239.55,234652.16,140587.39
O1178,2025-04-24,C082,Rahul,Technology,Monitor,LG Monitor,West,Pune,1,47514,0.05,45138.3,31584.11,13554.19
O1179,2025-05-27,C031,Kiran,Furniture,Cabinet,File Cabinet,East,Kolkata,8,37308,0.15,253694.4,208182.98,45511.42
O1180,2025-03-30,C048,Anjali,Technology,Laptop,HP Laptop,North,Jaipur,2,17187,0.0,34374.0,30818.89,3555.11
O1181,2025-03-23,C013,Anjali,Technology,Laptop,Lenovo Laptop,South,Bangalore,4,48608,0.15,165267.2,135029.48,30237.72
O1182,2025-03-06,C076,Vikram,Office Supplies,File,Office File,West,Mumbai,8,41057,0.0,328456.0,223794.31,104661.69
O1183,2025-10-18,C044,Amit,Office Supplies,File,Office File,West,Mumbai,9,17924,0.0,161316.0,123935.01,37380.99
O1184,2025-10-09,C072,Priya,Furniture,Desk,Office Desk,East,Bhubaneswar,2,35857,0.0,71714.0,50337.08,21376.92
O1185,2025-10-20,C079,Sneha,Furniture,Cabinet,File Cabinet,South,Chennai,9,32879,0.2,236728.8,167965.98,68762.82
O1186,2025-01-21,C023,Neha,Office Supplies,File,Document File,West,Pune,2,27087,0.1,48756.6,36981.57,11775.03
O1187,2025-10-04,C013,Amit,Office Supplies,Notebook,Spiral Notebook,West,Mumbai,4,9006,0.1,32421.6,18613.47,13808.13
O1188,2025-06-05,C035,Ravi,Office Supplies,Pen,Cello Pen,South,Hyderabad,4,27217,0.1,97981.2,90323.22,7657.98
O1189,2025-12-16,C075,Neha,Furniture,Cabinet,Storage Cabinet,North,Jaipur,1,43696,0.15,37141.6,32657.48,4484.12
O1190,2025-10-25,C056,Sneha,Office Supplies,Printer Paper,Premium Paper,West,Mumbai,7,23586,0.0,165102.0,128271.85,36830.15
O1191,2025-01-26,C009,Vikram,Furniture,Desk,Study Desk,South,Hyderabad,7,23769,0.2,133106.4,120285.94,12820.46
O1192,2025-04-10,C060,Neha,Furniture,Chair,Office Chair,North,Delhi,5,54951,0.05,261017.25,219980.96,41036.29
O1193,2025-02-18,C099,Priya,Furniture,Chair,Executive Chair,West,Pune,1,42522,0.05,40395.9,24689.71,15706.19
O1194,2025-06-09,C011,Vikram,Technology,Monitor,Dell Monitor,South,Chennai,5,16114,0.1,72513.0,57491.03,15021.97
O1195,2025-05-26,C067,Vikram,Technology,Mobile,Samsung Mobile,South,Hyderabad,9,33637,0.1,272459.7,214921.32,57538.38
O1196,2025-03-09,C090,Amit,Furniture,Chair,Office Chair,South,Hyderabad,7,44411,0.15,264245.45,231870.84,32374.61
O1197,2025-03-14,C008,Rahul,Furniture,Cabinet,File Cabinet,South,Chennai,4,45899,0.2,146876.8,133316.6,13560.2
O1198,2025-01-27,C032,Kiran,Office Supplies,Pen,Parker Pen,West,Mumbai,1,3813,0.15,3241.05,2820.18,420.87
O1199,2025-09-15,C081,Arjun,Furniture,Cabinet,Storage Cabinet,West,Pune,3,8633,0.05,24604.05,23316.17,1287.88
O1200,2025-10-30,C055,Vikram,Furniture,Desk,Study Desk,East,Bhubaneswar,4,47656,0.2,152499.2,122606.92,29892.28
O1201,2025-08-25,C023,Arjun,Furniture,Table,Office Table,West,Mumbai,8,39991,0.1,287935.2,265151.21,22783.99
O1202,2025-08-19,C032,Rahul,Furniture,Chair,Executive Chair,East,Kolkata,9,16769,0.2,120736.8,70893.23,49843.57
O1203,2025-12-27,C085,Priya,Technology,Keyboard,HP Keyboard,North,Jaipur,4,53828,0.05,204546.4,140455.84,64090.56
O1204,2025-11-07,C006,Arjun,Office Supplies,Notebook,Classmate Notebook,South,Bangalore,3,38167,0.05,108775.95,85958.86,22817.09
