Order_ID,Order_Date,Customer_ID,Customer_Name,Category,Sub_Category,Product,Region,City,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Revenue_Before_Discount,Profit_Margin,Month,Year
O1023,2025-06-09,C009,Anjali,Technology,Keyboard,HP Keyboard,South,Chennai,1,38291,0.15,32547.35,25169.43,7377.92,38291,22.668266387278845,2025-06,2025
O1024,2025-03-16,C072,Sneha,Office Supplies,File,Document File,East,Patna,4,6395,0.0,25580.0,20638.27,4941.73,25580,19.3187255668491,2025-03,2025
O1025,2025-12-04,C066,Amit,Furniture,Cabinet,Storage Cabinet,North,Lucknow,9,16582,0.0,149238.0,82383.05,66854.95,149238,44.797538160522116,2025-12,2025
O1026,2025-05-15,C067,Rahul,Office Supplies,Printer Paper,A4 Paper,South,Hyderabad,4,23428,0.2,74969.6,46595.79,28373.81,93712,37.84708735274031,2025-05,2025
O1027,2025-09-21,C027,Priya,Technology,Keyboard,HP Keyboard,West,Ahmedabad,6,19930,0.2,95664.0,71240.68,24423.32,119580,25.530314433851814,2025-09,2025
O1028,2025-05-27,C004,Arjun,Technology,Mobile,Samsung Mobile,East,Patna,1,29224,0.15,24840.4,20840.62,3999.78,29224,16.101914622952933,2025-05,2025
O1029,2025-02-06,C024,Rahul,Technology,Keyboard,Logitech Keyboard,East,Bhubaneswar,5,43625,0.1,196312.5,166686.49,29626.01,218125,15.091249920407513,2025-02,2025
O1030,2025-06-10,C067,Priya,Furniture,Chair,Office Chair,West,Mumbai,4,290,0.2,928.0,653.35,274.65,1160,29.59590517241379,2025-06,2025
O1031,2025-12-08,C023,Priya,Technology,Mobile,Apple iPhone,North,Jaipur,3,34763,0.05,99074.55,78863.63,20210.92,104289,20.399709107939422,2025-12,2025
O1032,2025-09-03,C048,Neha,Office Supplies,File,Document File,North,Jaipur,1,27851,0.0,27851.0,16840.07,11010.93,27851,39.53513338838821,2025-09,2025
O1033,2025-11-09,C036,Sneha,Technology,Mobile,Apple iPhone,North,Lucknow,2,29692,0.2,47507.2,27679.48,19827.72,59384,41.73624208541022,2025-11,2025
O1034,2025-10-15,C087,Amit,Technology,Keyboard,HP Keyboard,North,Jaipur,3,55866,0.15,142458.3,111337.71,31120.59,167598,21.84540318114143,2025-10,2025
O1035,2025-06-29,C042,Amit,Office Supplies,Notebook,Spiral Notebook,West,Pune,6,55709,0.05,317541.3,178521.75,139019.55,334254,43.779990193401616,2025-06,2025
O1036,2025-04-18,C005,Neha,Office Supplies,Pen,Parker Pen,East,Kolkata,1,14699,0.2,11759.2,7744.81,4014.39,14699,34.1382917205252,2025-04,2025
O1037,2025-05-04,C030,Arjun,Furniture,Chair,Executive Chair,East,Bhubaneswar,3,39834,0.15,101576.7,61260.72,40315.98,119502,39.69018485538515,2025-05,2025
O1038,2025-11-14,C023,Anjali,Technology,Keyboard,Logitech Keyboard,West,Pune,7,26045,0.2,145852.0,90972.77,54879.23,182315,37.62665578805913,2025-11,2025
O1039,2025-09-29,C061,Neha,Technology,Laptop,HP Laptop,North,Delhi,2,46275,0.0,92550.0,75343.01,17206.99,92550,18.592101566720693,2025-09,2025
O1040,2025-03-27,C057,Kiran,Office Supplies,Notebook,Spiral Notebook,South,Bangalore,3,19631,0.05,55948.35,38738.03,17210.32,58893,30.761085894400818,2025-03,2025
O1041,2025-12-07,C039,Sneha,Office Supplies,Notebook,Spiral Notebook,North,Jaipur,4,29224,0.15,99361.6,55330.94,44030.66,116896,44.31355775269319,2025-12,2025
O1042,2025-08-11,C010,Vikram,Technology,Mobile,OnePlus Mobile,South,Bangalore,6,32680,0.15,166668.0,94687.69,71980.31,196080,43.18784049727602,2025-08,2025
O1043,2025-06-09,C091,Sneha,Office Supplies,Pen,Cello Pen,South,Hyderabad,4,27763,0.05,105499.4,59143.44,46355.96,111052,43.93954847136571,2025-06,2025
O1044,2025-03-06,C033,Ravi,Furniture,Desk,Study Desk,South,Hyderabad,3,28174,0.2,67617.6,54119.5,13498.1,84522,19.962406237429306,2025-03,2025
O1045,2025-08-03,C081,Vikram,Furniture,Desk,Study Desk,South,Hyderabad,2,32096,0.1,57772.8,46062.34,11710.46,64192,20.2698501717071,2025-08,2025
O1046,2025-11-10,C075,Ravi,Technology,Mobile,OnePlus Mobile,North,Jaipur,2,57558,0.0,115116.0,86154.54,28961.46,115116,25.158500990305434,2025-11,2025
O1047,2025-02-05,C082,Rahul,Technology,Laptop,Dell Laptop,South,Chennai,5,18988,0.1,85446.0,80849.18,4596.82,94940,5.379795426351145,2025-02,2025
O1048,2025-10-06,C089,Arjun,Office Supplies,Printer Paper,Premium Paper,West,Unknown,5,44911,0.0,224555.0,184570.27,39984.73,224555,17.806207833270246,2025-10,2025
O1049,2025-07-06,C019,Rahul,Technology,Mobile,Samsung Mobile,South,Chennai,4,47059,0.0,188236.0,127627.74,60608.26,188236,32.19801738243482,2025-07,2025
O1050,2025-05-24,C069,Arjun,Technology,Laptop,Lenovo Laptop,East,Kolkata,7,59263,0.15,352614.85,274819.25,77795.6,414841,22.062485456866042,2025-05,2025
O1051,2025-06-30,C042,Vikram,Technology,Keyboard,Logitech Keyboard,South,Hyderabad,7,1267,0.0,8869.0,5280.48,3588.52,8869,40.461382342992444,2025-06,2025
O1052,2025-05-26,C076,Anjali,Office Supplies,Pen,Parker Pen,North,Delhi,3,38202,0.2,91684.8,63296.07,28388.73,114606,30.96339851316685,2025-05,2025
O1053,2025-10-10,C066,Kiran,Furniture,Table,Computer Table,South,Hyderabad,6,1642,0.2,7881.6,5036.58,2845.02,9852,36.09698538367844,2025-10,2025
O1054,2025-11-23,C089,Sneha,Technology,Laptop,HP Laptop,West,Mumbai,1,17849,0.15,15171.65,9780.77,5390.88,17849,35.53258874281967,2025-11,2025
O1055,2025-01-19,C039,Arjun,Furniture,Cabinet,File Cabinet,West,Mumbai,6,26890,0.1,145206.0,94309.8,50896.2,161340,35.05103094913433,2025-01,2025
O1056,2025-01-01,C003,Anjali,Technology,Laptop,HP Laptop,East,Bhubaneswar,4,55871,0.2,178787.2,157174.71,21612.49,223484,12.08838775930268,2025-01,2025
O1057,2025-06-09,C045,Kiran,Office Supplies,Printer Paper,A4 Paper,South,Hyderabad,6,46296,0.05,263887.2,146420.92,117466.28,277776,44.51382257267499,2025-06,2025
O1058,2025-02-16,C049,Rahul,Furniture,Chair,Office Chair,East,Kolkata,4,25926,0.1,93333.6,87520.88,5812.72,103704,6.22789649172431,2025-02,2025
O1059,2025-09-29,C072,Amit,Technology,Mobile,OnePlus Mobile,West,Ahmedabad,9,7214,0.15,55187.1,51516.11,3670.99,64926,6.651898722708749,2025-09,2025
O1060,2025-08-08,C041,Sneha,Technology,Keyboard,HP Keyboard,East,Bhubaneswar,8,19229,0.15,130757.2,102443.36,28313.84,153832,21.65375214519736,2025-08,2025
O1061,2025-08-28,C029,Arjun,Office Supplies,Pen,Parker Pen,South,Hyderabad,1,55384,0.15,47076.4,37242.74,9833.66,55384,20.888725561002964,2025-08,2025
O1062,2025-01-05,C033,Amit,Technology,Mobile,OnePlus Mobile,West,Mumbai,9,109,0.05,931.95,718.19,213.76,981,22.93685283545254,2025-01,2025
O1063,2025-10-10,C049,Rahul,Technology,Mobile,Apple iPhone,South,Bangalore,5,23933,0.0,119665.0,112241.67,7423.33,119665,6.203426231563114,2025-10,2025
O1064,2025-12-17,C005,Amit,Furniture,Chair,Office Chair,West,Mumbai,5,41043,0.15,174432.75,152656.64,21776.11,205215,12.483957284397569,2025-12,2025
O1065,2025-03-26,C078,Anjali,Office Supplies,Notebook,Classmate Notebook,South,Hyderabad,5,4909,0.05,23317.75,16349.01,6968.74,24545,29.885988142080606,2025-03,2025
O1066,2025-10-15,C034,Ravi,Furniture,Chair,Office Chair,South,Hyderabad,4,22049,0.0,88196.0,72204.33,15991.67,88196,18.131967436164906,2025-10,2025
O1067,2025-02-23,C005,Anjali,Office Supplies,Pen,Cello Pen,North,Jaipur,6,50022,0.1,270118.8,181819.91,88298.89,300132,32.688909472424726,2025-02,2025
O1068,2025-04-13,C038,Priya,Technology,Keyboard,Logitech Keyboard,West,Ahmedabad,5,39864,0.05,189354.0,165120.07,24233.93,199320,12.798213927353,2025-04,2025
O1069,2025-12-01,C030,Neha,Furniture,Table,Computer Table,North,Jaipur,3,10309,0.15,26287.95,20214.87,6073.08,30927,23.102143757881464,2025-12,2025
O1070,2025-12-06,C088,Kiran,Furniture,Desk,Office Desk,South,Hyderabad,4,49389,0.0,197556.0,147544.01,50011.99,197556,25.31534855939582,2025-12,2025
O1071,2025-12-02,C095,Amit,Furniture,Table,Office Table,North,Delhi,3,6354,0.0,19062.0,13992.42,5069.58,19062,26.59521561221278,2025-12,2025
O1072,2025-10-04,C005,Priya,Technology,Monitor,Samsung Monitor,West,Mumbai,2,28832,0.05,54780.8,35034.49,19746.31,57664,36.04604167883638,2025-10,2025
O1073,2025-02-03,C049,Vikram,Furniture,Chair,Executive Chair,South,Chennai,1,39244,0.15,33357.4,21099.67,12257.73,39244,36.74665891226534,2025-02,2025
O1074,2025-03-02,C081,Vikram,Technology,Monitor,Dell Monitor,North,Delhi,9,43321,0.1,350900.1,322248.74,28651.36,389889,8.165104541150031,2025-03,2025
O1075,2025-03-19,C088,Priya,Technology,Keyboard,Logitech Keyboard,West,Mumbai,4,402,0.05,1527.6,1304.54,223.06,1608,14.601990049751246,2025-03,2025
O1076,2025-10-01,C038,Arjun,Technology,Mobile,OnePlus Mobile,West,Ahmedabad,7,5222,0.1,32898.6,25096.55,7802.05,36554,23.71544685792101,2025-10,2025
O1077,2025-09-30,C086,Vikram,Office Supplies,File,Document File,South,Bangalore,5,10367,0.05,49243.25,38192.38,11050.87,51835,22.441390444375628,2025-09,2025
O1078,2025-08-21,C018,Sneha,Furniture,Cabinet,File Cabinet,South,Hyderabad,4,6268,0.15,21311.2,14748.24,6562.96,25072,30.79582566913172,2025-08,2025
O1079,2025-06-29,C026,Priya,Office Supplies,Pen,Cello Pen,West,Mumbai,3,16013,0.0,48039.0,32905.69,15133.31,48039,31.502133683049188,2025-06,2025
O1080,2025-10-04,C070,Amit,Office Supplies,Printer Paper,A4 Paper,South,Chennai,5,28124,0.0,140620.0,77764.79,62855.21,140620,44.6986275067558,2025-10,2025
O1081,2025-08-31,C031,Ravi,Office Supplies,Printer Paper,Premium Paper,North,Lucknow,8,27546,0.0,220368.0,128274.78,92093.22,220368,41.79065018514485,2025-08,2025
O1082,2025-12-01,C006,Amit,Technology,Keyboard,HP Keyboard,West,Pune,2,41527,0.15,70595.9,64733.49,5862.41,83054,8.304179137881945,2025-12,2025
O1083,2025-06-22,C044,Kiran,Technology,Mobile,OnePlus Mobile,West,Pune,9,53541,0.1,433682.1,337684.43,95997.67,481869,22.135492795298678,2025-06,2025
O1084,2025-02-16,C001,Vikram,Furniture,Table,Computer Table,East,Patna,4,49476,0.15,168218.4,108831.23,59387.17,197904,35.303611257745885,2025-02,2025
O1085,2025-06-27,C010,Kiran,Furniture,Cabinet,Storage Cabinet,South,Chennai,4,39856,0.1,143481.6,112999.4,30482.2,159424,21.244675275436016,2025-06,2025
O1086,2025-11-25,C017,Anjali,Office Supplies,Pen,Cello Pen,North,Delhi,8,34487,0.0,275896.0,167063.28,108832.72,275896,39.4470090178908,2025-11,2025
O1087,2025-08-24,C050,Kiran,Office Supplies,File,Document File,North,Lucknow,3,28353,0.0,85059.0,75727.26,9331.74,85059,10.97090254999471,2025-08,2025
O1088,2025-11-24,C011,Anjali,Office Supplies,Notebook,Spiral Notebook,East,Patna,3,51812,0.15,132120.6,117155.5,14965.1,155436,11.326848349159782,2025-11,2025
O1089,2025-03-03,C004,Anjali,Technology,Mobile,OnePlus Mobile,West,Mumbai,5,19382,0.1,87219.0,70080.77,17138.23,96910,19.649652025361448,2025-03,2025
O1090,2025-12-19,C023,Rahul,Technology,Mobile,Samsung Mobile,North,Lucknow,8,28273,0.1,203565.6,162779.32,40786.28,226184,20.035939274612215,2025-12,2025
O1091,2025-02-08,C051,Amit,Technology,Laptop,Dell Laptop,West,Ahmedabad,2,18481,0.2,29569.6,26984.89,2584.71,36962,8.741105730209405,2025-02,2025
O1092,2025-08-19,C027,Sneha,Furniture,Desk,Office Desk,West,Pune,4,15474,0.2,49516.8,37046.96,12469.84,61896,25.18304898539486,2025-08,2025
O1093,2025-03-27,C066,Vikram,Technology,Mobile,Samsung Mobile,South,Hyderabad,5,32254,0.0,161270.0,90861.61,70408.39,161270,43.65870279655237,2025-03,2025
O1094,2025-07-03,C015,Ravi,Technology,Monitor,LG Monitor,South,Chennai,6,55280,0.15,281928.0,206596.86,75331.14,331680,26.719992338469396,2025-07,2025
O1095,2025-10-19,C026,Kiran,Technology,Laptop,Lenovo Laptop,East,Kolkata,2,48638,0.1,87548.4,72453.25,15095.15,97276,17.242062676188258,2025-10,2025
O1096,2025-08-06,C013,Ravi,Office Supplies,Pen,Cello Pen,East,Bhubaneswar,6,13099,0.05,74664.3,69356.66,5307.64,78594,7.10867174807773,2025-08,2025
O1097,2025-12-22,C068,Kiran,Furniture,Table,Office Table,South,Bangalore,8,33695,0.1,242604.0,223886.45,18717.55,269560,7.715268503404725,2025-12,2025
O1098,2025-10-23,C041,Amit,Technology,Keyboard,Logitech Keyboard,North,Delhi,9,54361,0.1,440324.1,371887.91,68436.19,489249,15.54223127918731,2025-10,2025
O1099,2025-11-09,C001,Amit,Office Supplies,File,Office File,North,Delhi,5,36285,0.15,154211.25,92505.94,61705.31,181425,40.01349447592183,2025-11,2025
O1100,2025-11-09,C026,Anjali,Office Supplies,File,Document File,West,Mumbai,9,9624,0.0,86616.0,54761.4,31854.6,86616,36.776807980049874,2025-11,2025
O1101,2025-12-13,C017,Arjun,Office Supplies,File,Document File,South,Chennai,6,8677,0.05,49458.9,36715.06,12743.84,52062,25.76652533719917,2025-12,2025
O1102,2025-03-04,C022,Vikram,Furniture,Cabinet,File Cabinet,West,Pune,5,22459,0.0,112295.0,78040.26,34254.74,112295,30.504243287768823,2025-03,2025
O1103,2025-12-08,C092,Ravi,Furniture,Chair,Office Chair,West,Mumbai,4,19916,0.0,79664.0,61574.07,18089.93,79664,22.70778519783089,2025-12,2025
O1104,2025-11-14,C032,Rahul,Technology,Monitor,Dell Monitor,East,Kolkata,7,2582,0.1,16266.6,14150.52,2116.08,18074,13.008741839105898,2025-11,2025
O1105,2025-07-13,C092,Rahul,Technology,Laptop,HP Laptop,East,Patna,2,33636,0.1,60544.8,44277.35,16267.45,67272,26.868451130402608,2025-07,2025
O1106,2025-05-11,C032,Vikram,Furniture,Table,Computer Table,West,Ahmedabad,4,55268,0.2,176857.6,102613.02,74244.58,221072,41.97986402619961,2025-05,2025
O1107,2025-12-15,C008,Rahul,Furniture,Desk,Study Desk,North,Delhi,7,16538,0.15,98401.1,87175.06,11226.04,115766,11.408449702289914,2025-12,2025
O1108,2025-03-08,C051,Rahul,Technology,Monitor,Samsung Monitor,East,Patna,8,56473,0.0,451784.0,393036.92,58747.08,451784,13.00335558585519,2025-03,2025
O1109,2025-06-14,C054,Kiran,Office Supplies,Printer Paper,Premium Paper,West,Pune,8,48017,0.1,345722.4,323271.09,22451.31,384136,6.494028156694504,2025-06,2025
O1110,2025-05-27,C019,Sneha,Furniture,Desk,Office Desk,East,Bhubaneswar,7,4525,0.0,31675.0,20055.17,11619.83,31675,36.68454617205998,2025-05,2025
O1111,2025-07-14,C087,Neha,Technology,Keyboard,HP Keyboard,North,Delhi,5,22519,0.1,101335.5,66250.05,35085.45,112595,34.62305904643486,2025-07,2025
O1112,2025-12-08,C024,Rahul,Technology,Laptop,HP Laptop,East,Bhubaneswar,9,7183,0.1,58182.3,54073.54,4108.76,64647,7.061872768866133,2025-12,2025
O1113,2025-07-28,C014,Anjali,Furniture,Table,Computer Table,West,Pune,7,20707,0.0,144949.0,107829.21,37119.79,144949,25.608862427474495,2025-07,2025
O1114,2025-06-03,C058,Priya,Furniture,Chair,Office Chair,West,Mumbai,6,17785,0.1,96039.0,69021.46,27017.54,106710,28.131842272410168,2025-06,2025
O1115,2025-02-03,C017,Kiran,Office Supplies,Notebook,Classmate Notebook,North,Jaipur,5,26765,0.15,113751.25,85226.57,28524.68,133825,25.07636619377809,2025-02,2025
O1116,2025-10-14,C006,Ravi,Technology,Mobile,OnePlus Mobile,East,Patna,5,40909,0.2,163636.0,107259.07,56376.93,204545,34.45264489476643,2025-10,2025
O1117,2025-07-09,C046,Priya,Furniture,Cabinet,File Cabinet,South,Hyderabad,7,27629,0.2,154722.4,136966.89,17755.51,193403,11.475720386964007,2025-07,2025
O1118,2025-09-24,C040,Sneha,Furniture,Desk,Office Desk,West,Mumbai,4,21974,0.05,83501.2,48205.23,35295.97,87896,42.27001528121752,2025-09,2025
O1119,2025-09-07,C036,Sneha,Technology,Monitor,Samsung Monitor,East,Patna,6,28869,0.2,138571.2,103027.96,35543.24,173214,25.649803133695887,2025-09,2025
O1120,2025-03-14,C073,Ravi,Office Supplies,File,Document File,West,Mumbai,2,47404,0.05,90067.6,66622.55,23445.05,94808,26.030503754957383,2025-03,2025
O1121,2025-05-11,C044,Arjun,Technology,Laptop,Dell Laptop,South,Bangalore,8,55437,0.0,443496.0,287634.13,155861.87,443496,35.14391787073615,2025-05,2025
O1122,2025-01-17,C074,Anjali,Furniture,Table,Computer Table,East,Patna,5,49182,0.1,221319.0,206897.75,14421.25,245910,6.51604697292144,2025-01,2025
O1123,2025-07-17,C072,Anjali,Office Supplies,Notebook,Classmate Notebook,East,Bhubaneswar,8,438,0.2,2803.2,2392.85,410.35,3504,14.638627283105023,2025-07,2025
O1124,2025-09-23,C016,Neha,Furniture,Chair,Executive Chair,West,Ahmedabad,9,57296,0.05,489880.8,277160.22,212720.58,515664,43.422926556827704,2025-09,2025
O1125,2025-06-25,C072,Priya,Technology,Monitor,LG Monitor,South,Chennai,7,44913,0.2,251512.8,211876.76,39636.04,314391,15.759054807548564,2025-06,2025
O1126,2025-04-13,C017,Ravi,Office Supplies,File,Office File,North,Lucknow,4,25610,0.1,92196.0,62475.71,29720.29,102440,32.235986376849326,2025-04,2025
O1127,2025-12-30,C039,Ravi,Office Supplies,Printer Paper,Premium Paper,South,Chennai,3,29966,0.05,85403.1,71730.64,13672.46,89898,16.009325188429926,2025-12,2025
O1128,2025-11-07,C099,Vikram,Technology,Keyboard,Logitech Keyboard,North,Delhi,2,48388,0.2,77420.8,61653.69,15767.11,96776,20.36547026122179,2025-11,2025
O1129,2025-10-29,C029,Rahul,Furniture,Table,Office Table,West,Mumbai,2,48643,0.1,87557.4,50609.22,36948.18,97286,42.19880900986096,2025-10,2025
O1130,2025-12-25,C084,Kiran,Technology,Mobile,Samsung Mobile,East,Kolkata,8,18255,0.0,146040.0,125201.46,20838.54,146040,14.269063270336895,2025-12,2025
O1131,2025-10-20,C025,Rahul,Technology,Mobile,Samsung Mobile,West,Mumbai,8,32513,0.05,247098.8,165191.29,81907.51,260104,33.14767615221118,2025-10,2025
O1132,2025-10-20,C061,Kiran,Technology,Mobile,Apple iPhone,South,Bangalore,1,57308,0.15,48711.8,31044.11,17667.69,57308,36.26983605615066,2025-10,2025
O1133,2025-07-18,C052,Sneha,Office Supplies,Printer Paper,Premium Paper,West,Ahmedabad,8,41070,0.2,262848.0,248568.51,14279.49,328560,5.432603634039445,2025-07,2025
O1134,2025-11-26,C098,Anjali,Office Supplies,Printer Paper,Premium Paper,South,Bangalore,6,41944,0.1,226497.6,171022.77,55474.83,251664,24.492458198232566,2025-11,2025
O1135,2025-02-16,C087,Rahul,Furniture,Chair,Office Chair,North,Lucknow,8,53097,0.2,339820.8,194763.9,145056.9,424776,42.68629230464998,2025-02,2025
O1136,2025-06-09,C099,Amit,Technology,Monitor,LG Monitor,South,Hyderabad,3,25525,0.0,76575.0,46830.08,29744.92,76575,38.84416585047339,2025-06,2025
O1137,2025-04-15,C056,Arjun,Technology,Keyboard,Logitech Keyboard,West,Mumbai,9,37543,0.2,270309.6,158562.19,111747.41,337887,41.340525826681706,2025-04,2025
O1138,2025-02-09,C025,Kiran,Office Supplies,Printer Paper,A4 Paper,South,Bangalore,9,23365,0.15,178742.25,100840.83,77901.42,210285,43.583103603093285,2025-02,2025
O1139,2025-03-31,C018,Amit,Office Supplies,File,Document File,East,Patna,6,14763,0.1,79720.2,66914.59,12805.61,88578,16.063193519333872,2025-03,2025
O1140,2025-12-15,C058,Arjun,Technology,Keyboard,HP Keyboard,South,Hyderabad,1,38101,0.2,30480.8,22623.91,7856.89,38101,25.776521613605947,2025-12,2025
O1141,2025-04-02,C097,Anjali,Furniture,Cabinet,File Cabinet,South,Hyderabad,1,58729,0.1,52856.1,47425.89,5430.21,58729,10.273572965088231,2025-04,2025
O1142,2025-01-07,C005,Vikram,Technology,Monitor,Dell Monitor,South,Hyderabad,4,20770,0.1,74772.0,63637.45,11134.55,83080,14.891336329107151,2025-01,2025
O1143,2025-07-25,C077,Neha,Technology,Monitor,Samsung Monitor,West,Pune,5,36609,0.05,173892.75,152536.43,21356.32,183045,12.281317076186328,2025-07,2025
O1144,2025-12-10,C035,Amit,Furniture,Cabinet,File Cabinet,North,Lucknow,1,34932,0.05,33185.4,26667.86,6517.54,34932,19.639781349629658,2025-12,2025
O1145,2025-02-06,C093,Amit,Office Supplies,Pen,Parker Pen,North,Delhi,2,1535,0.15,2609.5,1622.58,986.92,3070,37.82027208277447,2025-02,2025
O1146,2025-04-30,C082,Priya,Furniture,Cabinet,File Cabinet,East,Kolkata,6,8173,0.0,49038.0,28107.02,20930.98,49038,42.68318446918716,2025-04,2025
O1147,2025-01-29,C011,Rahul,Furniture,Cabinet,File Cabinet,South,Bangalore,3,21527,0.2,51664.8,36343.34,15321.46,64581,29.655510134559698,2025-01,2025
O1148,2025-10-12,C004,Rahul,Furniture,Desk,Office Desk,East,Patna,7,44669,0.05,297048.85,195889.06,101159.79,312683,34.054934062192125,2025-10,2025
O1149,2025-10-15,C002,Sneha,Office Supplies,Notebook,Classmate Notebook,West,Ahmedabad,7,35712,0.2,199987.2,133861.39,66125.81,249984,33.06502116135432,2025-10,2025
O1150,2025-12-23,C059,Sneha,Furniture,Desk,Office Desk,West,Mumbai,8,32447,0.2,207660.8,192594.25,15066.55,259576,7.255365480629951,2025-12,2025
O1151,2025-06-11,C061,Arjun,Furniture,Desk,Office Desk,South,Bangalore,1,12957,0.15,11013.45,9248.75,1764.7,12957,16.023135348142496,2025-06,2025
O1152,2025-11-05,C008,Priya,Technology,Laptop,HP Laptop,West,Ahmedabad,8,21663,0.0,173304.0,155531.55,17772.45,173304,10.255072012186679,2025-11,2025
O1153,2025-02-15,C015,Anjali,Office Supplies,File,Office File,East,Kolkata,8,44959,0.05,341688.4,272209.52,69478.88,359672,20.333988511169824,2025-02,2025
O1154,2025-11-15,C086,Amit,Furniture,Table,Office Table,South,Chennai,4,34631,0.0,138524.0,87299.19,51224.81,138524,36.97901446680719,2025-11,2025
O1155,2025-11-16,C082,Amit,Technology,Laptop,HP Laptop,East,Patna,1,37035,0.2,29628.0,17153.98,12474.02,37035,42.10213311732146,2025-11,2025
O1156,2025-03-29,C041,Rahul,Office Supplies,Notebook,Classmate Notebook,South,Chennai,9,30187,0.1,244514.7,181479.49,63035.21,271683,25.779722037161772,2025-03,2025
O1157,2025-08-30,C097,Priya,Technology,Mobile,Apple iPhone,East,Bhubaneswar,6,30911,0.15,157646.1,108524.62,49121.48,185466,31.159337275073728,2025-08,2025
O1158,2025-04-13,C066,Amit,Technology,Laptop,Dell Laptop,South,Chennai,1,23216,0.15,19733.6,13677.76,6055.84,23216,30.68796367616654,2025-04,2025
